District,Production(Tonnes),Mean Price(Rs./Quintal)
Kadur_2013_1_January,202,1623
Kanakapura_2013_1_January,4,2000
Kollegal_2013_1_January,7,1667
Koppa_2013_1_January,5,1900
Kunigal_2013_1_January,115,1500
Madhugiri_2013_1_January,1,1550
Moodigere_2013_1_January,6,1300
Mulabagilu_2013_1_January,12,1000
Mysore (Bandipalya)_2013_1_January,52,1913
Nagamangala_2013_1_January,438,1901
Piriya Pattana_2013_1_January,47,1383
Shimoga_2013_1_January,46,2195
Tarikere_2013_1_January,50,1412
Tumkur_2013_1_January,25,1522
Arasikere_2013_8_August,205,1702
Bangalore_2013_8_August,247,2351
Belur_2013_8_August,29,1400
Chamaraj Nagar_2013_8_August,3,1500
Channarayapatna_2013_8_August,9,1667
Chintamani_2013_8_August,49,1760
Doddaballa Pur_2013_8_August,13,1550
Gubbi_2013_8_August,16,1717
Harappana Halli_2013_8_August,162,1565
Hassan_2013_8_August,50,1920
Hosadurga_2013_8_August,69,1576
Huliyar_2013_8_August,10,1400
Hunsur_2013_8_August,30,1633
Kadur_2013_8_August,41,1590
Kollegal_2013_8_August,2,1850
Kottur_2013_8_August,1,1818
Mysore (Bandipalya)_2013_8_August,65,1758
Nagamangala_2013_8_August,557,1625
Piriya Pattana_2013_8_August,9,1500
Shimoga_2013_8_August,30,2025
Tarikere_2013_8_August,5,1617
Tumkur_2013_8_August,2,2100
Arasikere_2014_1_January,550,1426
Bangalore_2014_1_January,495,1886
Channarayapatna_2014_1_January,15,1450
Chikkamagalore_2014_1_January,9,1600
Chintamani_2014_1_January,162,1558
Davangere_2014_1_January,7,1950
Gubbi_2014_1_January,26,1457
Gundlupet_2014_1_January,7,1550
Harappana Halli_2014_1_January,19,1328
Hassan_2014_1_January,163,1482
Holenarsipura_2014_1_January,74,1451
Hosadurga_2014_1_January,16,1600
Huliyar_2014_1_January,21,1338
Hunsur_2014_1_January,56,1456
Kadur_2014_1_January,233,1555
Kanakapura_2014_1_January,26,1795
Kolar_2014_1_January,3,1500
Kollegal_2014_1_January,7,1600
Kottur_2014_1_January,1,1219
Kunigal_2014_1_January,23,1500
Mysore (Bandipalya)_2014_1_January,57,1477
Nagamangala_2014_1_January,859,1644
Piriya Pattana_2014_1_January,387,1420
Shimoga_2014_1_January,45,1650
Tarikere_2014_1_January,15,1525
Tumkur_2014_1_January,154,1560
Arasikere_2014_8_August,538,1476
Bangalore_2014_8_August,567,2211
Bangarpet_2014_8_August,15,1500
Bhadravathi_2014_8_August,26,1400
Chamaraj Nagar_2014_8_August,13,1300
Chikkamagalore_2014_8_August,2,1600
Chintamani_2014_8_August,31,1633
Doddaballa Pur_2014_8_August,6,1500
